IGN,P1 IA1,P1 IA2,P1 IA3,P2 IA1,P2 IA2,P2 IA3,P3 IA1,P3 IA2,P3 IA3
EvanDK,AS+1,,,Meso+19,,,Item+19,,
EvanAB,AS+1,,,Item+19,,,Meso+20,,
EvanBISHOP,Buff+50,,,AS+1,,,Item+20,,
EvanMM,AS+1,,,AS+1,,,Meso+19,,
EvanARAN,Boss+19,,,CDSkip+19,,,AOE+1,,
EvanSHADE,CDSkip+17,,,Meso+20,,,Passive+1,,
EvanHERO,AS+1,,,Meso+20,Abnormal+8,,Item+19,,
EvanBM,Boss+18,Abnormal+7,,Item+19,Meso+13,,Passive+1,,
EvanMIHILE,Boss+17,Abnormal+7,Item+8,Meso+19,,,Item+19,,
EvanWA,Meso+20,STR+25 DEX+13,Item+9,Item+18,,,Boss+16,Abnormal+7,Crit+16
EvanPALLY,AS+1,,,Meso+18,Normal+7,,Item+18,,
EvanPF,Boss+19,,,CDSkip+19,,,Passive+1,,
EvanKHALI,CDSkip+18,Item+8,Buff+19,Item+20,,,Boss+20,,
EvanMX,Boss+19,,,CDSkip+18,,,Meso+18,,
EvanPHANTOM,Meso+20,,,Item+19,,,CDSkip+16,,
EvanSIA,AS+1,LUK+25,Item+10,Item+19,,,Meso+19,,
EvanLUMI,AS+1,,,Buff+50,,,Item+20,,
EvanEVAN,AS+1,,,MATT+27,,,,,
EvanMERC,CDSkip+15,,,Boss+17,,,,,
EvanLARA,Passive+1,,,,,,,,
EvanHY,Passive+1,,,Boss+18,,,CDSkip+20,,
EvanZERO,Boss+20,,,Meso+20,,,AS+1,,
EvanDW,Item+19,,,Meso+19,,,,,
EvanBW,Passive+1,,,AS+1,,,Boss+19,,
EvanNW,Boss+15,Item+13,,,,,,,
EvanTB,Boss+18,,,,,,,,
EvanFP,AS+1,,,Buff+50,,,Item+20,,
EvanIL,Buff+50,,,AS+1,,,Item+20,,
EvanDB,Buff+44,,,,,,,,
EvanNL,CDSkip+19,,,Meso+19,,,Boss+19,,
EvanSHAD,CDSkip+18,,,,,,,,
EvanBUCC,Buff+50,,,Item+18,,,,,
EvanSAIR,Meso+20,,,Boss+18,,,AS+1,,
EvanCM,AS+1,,,Item+20,,,,,
EvanADELE,Meso+20,,,Buff+49,,,,,
EvanILLIUM,AS+1,,,,,,,,
EvanARK,Boss+20,,,,,,Passive+1,,
EvanKINE,Boss+20,,,AS+1,,,,,
EvanLYNN,AS+1,,,,,,,,
EvanKAISER,AS+1,,,,,,,,
EvanKAIN,Item+19,,,Passive+1,,,Boss+18,,
EvanCADENA,AS+1,,,Meso+18,,,Boss+18,,
EvanBLASTER,Meso+20,,,Boss+15,INT+21,ATT+21,CDSkip+20,,
EvanDA,AS+1,,,,,,,,
EvanDS,AS+1,,,,,,,,
EvanBAM,Boss+19,,,,,,,,
EvanWH,Buff+44,,,Boss+20,,,AS+1,,
EvanXENON,Meso+20,,,AS+1,,,,,
EvanMECH,Passive+1,,,Item+19,,,,,
EvanHAYATO,CDSkip+18,,,Item+18,,,Meso+18,,
EvanKANNA,CDSkip+19,,,Item+18,,,Boss+17,,
